Authors,Title,Year,Source title,Link,Document Type,Source,EID
"Shultz R.H.","U.S. Counterterrorism Operations during the Iraq War: A Case Study of Task Force 714",2016,"Studies in Conflict and Terrorism","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85003977159&doi=10.1080%2f1057610X.2016.1239990&partnerID=40&md5=3eacb51a59823e73e06529406c758c97",Article in Press,Scopus,2-s2.0-85003977159
"Isoto R.E., Sam A., Kraybill D.S.","Uninsured Health Shocks and Agricultural Productivity among Rural Households: The Mitigating Role of Micro-credit",2016,"Journal of Development Studies","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85001955440&doi=10.1080%2f00220388.2016.1262027&partnerID=40&md5=71d38249039627954cc490d45be4af9a",Article in Press,Scopus,2-s2.0-85001955440
"Edelman L.","An ethics of desubjectivation?",2016,"Differences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006823106&doi=10.1215%2f10407391-3696679&partnerID=40&md5=5b5ece6198f65f318200b832e6017216",Article,Scopus,2-s2.0-85006823106
"Rayner J., Yates T., Lantagne D., Joseph M.","Sustained effectiveness of automatic chlorinators installed in community-scale water distribution systems during an emergency recovery project in Haiti",2016,"Journal of Water Sanitation and Hygiene for Development","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006922931&doi=10.2166%2fwashdev.2016.068&partnerID=40&md5=11c94365c287efb96120769e4cb29b27",Article,Scopus,2-s2.0-85006922931
"Art D.","Archivists and Adventurers: Research Strategies for Authoritarian Regimes of the Past and Present*",2016,"Social Science Quarterly","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84997235046&doi=10.1111%2fssqu.12348&partnerID=40&md5=3e03b601353f2c8574c46249bb7a9cc6",Article,Scopus,2-s2.0-84997235046
"Maxwell D., Majid N., Adan G., Abdirahman K., Kim J.J.","Facing famine: Somali experiences in the famine of 2011",2016,"Food Policy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006635369&doi=10.1016%2fj.foodpol.2016.11.001&partnerID=40&md5=a2f66c910e1abef7e75be95a47caceb7",Article,Scopus,2-s2.0-85006635369
"Burgess K.","Politics, Livelihoods, and Identities Across Borders",2016,"Latin American Politics and Society","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994061052&doi=10.1111%2flaps.12006&partnerID=40&md5=6b93f169dc6247ea9c191ddd43864407",Article,Scopus,2-s2.0-84994061052
"Mulmi P., Block S.A., Shively G.E., Masters W.A.","Climatic conditions and child height: Sex-specific vulnerability and the protective effects of sanitation and food markets in Nepal",2016,"Economics and Human Biology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84980396085&doi=10.1016%2fj.ehb.2016.07.002&partnerID=40&md5=d6c6424fe869fd82528795a024e1bb0c",Article,Scopus,2-s2.0-84980396085
"Beninger P., Salem D.N., Boumil M.M., Jotwani R.","Medical Schools' Competition for Clinical Training Sites",2016,"Academic Medicine","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84999084658&doi=10.1097%2fACM.0000000000001428&partnerID=40&md5=c0fd0d4e79eebdc96c6e419477c7e123",Letter,Scopus,2-s2.0-84999084658
"Agaba E., Pomeroy-Stevens A., Ghosh S., Griffiths J.K.","Assessing Progress in Implementing Uganda's Nutrition Action Plan: District-Level Insights",2016,"Food and Nutrition Bulletin","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000741789&doi=10.1177%2f0379572116674553&partnerID=40&md5=4fe82a0ba7d9766848257ed9e5c9cd25",Article,Scopus,2-s2.0-85000741789
"Lamstein S., Pomeroy-Stevens A., Webb P., Kennedy E.","Optimizing the Multisectoral Nutrition Policy Cycle: A Systems Perspective",2016,"Food and Nutrition Bulletin","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000450744&doi=10.1177%2f0379572116675994&partnerID=40&md5=e9fa2091e0b7cbaf9d532dc339c0f038",Article,Scopus,2-s2.0-85000450744
"Kennedy E., Fekadu H., Ghosh S., Baral K., Davis D., Sapkota D., Webb P.","Implementing Multisector Nutrition Programs in Ethiopia and Nepal: Challenges and Opportunities from a Stakeholder Perspective",2016,"Food and Nutrition Bulletin","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000644809&doi=10.1177%2f0379572116674552&partnerID=40&md5=1ac8a6592737bc5af3daf92300edfa98",Article,Scopus,2-s2.0-85000644809
"Spolaore E., Wacziarg R.","War and relatedness",2016,"Review of Economics and Statistics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85004109078&doi=10.1162%2fREST_a_00554&partnerID=40&md5=83bb1c0836addbc31489932b64095527",Article,Scopus,2-s2.0-85004109078
"Morgan E., Levy R.","Abstract knowledge versus direct experience in processing of binomial expressions",2016,"Cognition","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992523171&doi=10.1016%2fj.cognition.2016.09.011&partnerID=40&md5=f69d401dcb0d75feafa4f030e51409a4",Article,Scopus,2-s2.0-84992523171
"Brunyé T.T., Moran J.M., Houck L.A., Taylor H.A., Mahoney C.R.","Registration errors in beacon-based navigation guidance systems: Influences on path efficiency and user reliance",2016,"International Journal of Human Computer Studies","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979762854&doi=10.1016%2fj.ijhcs.2016.07.008&partnerID=40&md5=22ac8b7b018851ba044238d458a67041",Article,Scopus,2-s2.0-84979762854
"Webb P., Ghosh S., Shrestha R., Namirembe G., Gurung S., Sapkota D., Bell W.F., Davis D., Kennedy E., Neupane S., Manohar S., Baral K.","Measuring Nutrition Governance: An Analysis of Commitment, Capability, and Collaboration in Nepal",2016,"Food and Nutrition Bulletin","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000658859&doi=10.1177%2f0379572116674856&partnerID=40&md5=ab842fe02ee9710bc2fb48d5ac4ccd7b",Article,Scopus,2-s2.0-85000658859
"Duncan J.M.A., Saikia S.D., Gupta N., Biggs E.M.","Observing climate impacts on tea yield in Assam, India",2016,"Applied Geography","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994496474&doi=10.1016%2fj.apgeog.2016.10.004&partnerID=40&md5=9d54a017aa8cc7ca970f1d15a5a67a70",Article,Scopus,2-s2.0-84994496474
"Pomeroy-Stevens A., D'Agostino A., Adero N., Merchant H.F., Muzoora A., Mupere E., Agaba E., Du L.","Prioritizing and Funding the Uganda Nutrition Action Plan",2016,"Food and Nutrition Bulletin","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000460288&doi=10.1177%2f0379572116674554&partnerID=40&md5=7fb223ee8bdc490758a3b0193f7a23d1",Article,Scopus,2-s2.0-85000460288
"Swenson J., Wendell K.","A case study of students' engagement in a control systems homework problem",2016,"Proceedings - Frontiers in Education Conference, FIE","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006795556&doi=10.1109%2fFIE.2016.7757655&partnerID=40&md5=c458ddd4300422d57a632ada72f480bb",Conference Paper,Scopus,2-s2.0-85006795556
"Shaw F., Wendell K.","Examining two learner approaches in a making activity with university students",2016,"Proceedings - Frontiers in Education Conference, FIE","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006744100&doi=10.1109%2fFIE.2016.7757623&partnerID=40&md5=8865a39634261e3270857c85d14cd65e",Conference Paper,Scopus,2-s2.0-85006744100
"Johnson A.W., Willner-Giwerc S., Grogan P.T., Danahy E.E.","Pre-college students' use of systems engineering methods in design",2016,"Proceedings - Frontiers in Education Conference, FIE","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006741612&doi=10.1109%2fFIE.2016.7757657&partnerID=40&md5=7b2962180fd90ffddd5ccec21f898d20",Conference Paper,Scopus,2-s2.0-85006741612
"Knight D.W., Canney N.E., Bielefeldt A.R., Swan C.","Macroethics instruction in co-curricular settings: The development and results of a national survey",2016,"Proceedings - Frontiers in Education Conference, FIE","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006802421&doi=10.1109%2fFIE.2016.7757437&partnerID=40&md5=825cfe1c50c620fbcfba7c3f7a677e3c",Conference Paper,Scopus,2-s2.0-85006802421
"Remedios J.D., Snyder S.H., Lizza C.A.","Perceptions of women of color who claim compound discrimination: Interpersonal judgments and perceived credibility",2015,"Group Processes and Intergroup Relations","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991824560&doi=10.1177%2f1368430215591041&partnerID=40&md5=272bfbdab5ed904fb2faf54ba69d1ffb",Article,Scopus,2-s2.0-84991824560
"Shamsuddin S.","Berkeley or Bust? Estimating the Causal Effect of College Selectivity on Bachelor’s Degree Completion",2016,"Research in Higher Education","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955613933&doi=10.1007%2fs11162-016-9408-0&partnerID=40&md5=c4c8483ff7fb09af9ae768e55ff1a562",Article,Scopus,2-s2.0-84955613933
"Portelance D.J., Strawhacker A.L., Bers M.U.","Constructing the ScratchJr programming language in the early childhood classroom",2016,"International Journal of Technology and Design Education","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938719042&doi=10.1007%2fs10798-015-9325-0&partnerID=40&md5=80a310cc08623281462ebf1eedcab5fa",Article,Scopus,2-s2.0-84938719042
"Gutsell J.N., Remedios J.D.","When men lean out: Subtle reminders of child-raising intentions and men and women's career interests",2016,"Journal of Experimental Social Psychology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989924628&doi=10.1016%2fj.jesp.2015.09.007&partnerID=40&md5=bf5afee8868858e1fe5c498fb60c40db",Article,Scopus,2-s2.0-84989924628
"Pu H., Holcomb P.J., Midgley K.J.","Neural changes underlying early stages of L2 vocabulary acquisition",2016,"Journal of Neurolinguistics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969980330&doi=10.1016%2fj.jneuroling.2016.05.002&partnerID=40&md5=714a0716c4711b717b45da373a00de53",Article,Scopus,2-s2.0-84969980330
"Allen J.D., Leyva B., Hilaire D.M., Reich A.J., Martinez L.S.","Priorities, concerns and unmet needs among Haitians in Boston after the 2010 earthquake",2016,"Health and Social Care in the Community","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991106494&doi=10.1111%2fhsc.12217&partnerID=40&md5=7600c1e208d0eb44aedf3264c46165bb",Article,Scopus,2-s2.0-84991106494
"Hollander J., Quinn J.","More than noise: Employing hip-hop music to inform community development practice",2016,"Community Development","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84980416227&doi=10.1080%2f15575330.2016.1210662&partnerID=40&md5=a5cdc177fa239680f522aefe8e130f83",Article,Scopus,2-s2.0-84980416227
"Nussio E., Howe K.","When protection collapses: Post-demobilization trajectories of violence",2016,"Terrorism and Political Violence","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907893040&doi=10.1080%2f09546553.2014.955916&partnerID=40&md5=0bea5178f3c0db677226be28ca45028b",Article,Scopus,2-s2.0-84907893040
"Dalvi T., Wendell K.","Using Student Video Cases to Assess Pre-service Elementary Teachers’ Engineering Teaching Responsiveness",2016,"Research in Science Education","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84990862089&doi=10.1007%2fs11165-016-9547-5&partnerID=40&md5=7790a43e1516cfec1d8b637a90909c2e",Article in Press,Scopus,2-s2.0-84990862089
"Zabel J.","A Dynamic Model of the Housing Market: The Role of Vacancies",2016,"Journal of Real Estate Finance and Economics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901519948&doi=10.1007%2fs11146-014-9466-z&partnerID=40&md5=f47a9d01929d882aec7a6cd447215c8e",Article,Scopus,2-s2.0-84901519948
"Lerner R.M., Konowitz L.S.","Commentary: Theoretical and Methodological Dimensions of Convergence and Divergence of Adolescent and Parent Reports about Youth Development and Family Structure and Function—A Relational Developmental Systems Perspective",2016,"Journal of Youth and Adolescence","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981216605&doi=10.1007%2fs10964-016-0556-5&partnerID=40&md5=5ba8753f4ed8c0aba422903322fc1889",Editorial,Scopus,2-s2.0-84981216605
"Robinson C.","From the Editor-in-Chief",2016,"Journal of Museum Education","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991281669&doi=10.1080%2f10598650.2016.1243385&partnerID=40&md5=50fb89e9462ada0f7850c103061e9f72",Editorial,Scopus,2-s2.0-84991281669
"Aker J.C., Boumnijel R., McClelland A., Tierney N.","Payment mechanisms and antipoverty programs: Evidence from a mobile money cash transfer experiment in Niger",2016,"Economic Development and Cultural Change","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991709211&partnerID=40&md5=2dd44bf737636330729e7bcbcca2acf2",Review,Scopus,2-s2.0-84991709211
"Tapscott R.","Where the wild things are not: crime preventers and the 2016 Ugandan elections",2016,"Journal of Eastern African Studies","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011423429&doi=10.1080%2f17531055.2016.1272283&partnerID=40&md5=24d91b3ede5fa34a0e73f3301f3f386f",Article,Scopus,2-s2.0-85011423429
"BrunyÃ© T.T., Ditman T., Giles G.E., Holmes A., Taylor H.A.","Mentally simulating narrative perspective is not universal or necessary for language comprehension",2016,"Journal of Experimental Psychology: Learning Memory and Cognition","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958213225&doi=10.1037%2fxlm0000250&partnerID=40&md5=1da6fc4d3857c84bd911759d642952fd",Article,Scopus,2-s2.0-84958213225
"Brizuela B.M., Scheuer N.","Investigating cognitive change as a dynamic process / Investigar el cambio cognitivo como proceso dinámico",2016,"Infancia y Aprendizaje","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988632641&doi=10.1080%2f02103702.2016.1223710&partnerID=40&md5=359e730967c01d3d26efb3b754ea1403",Editorial,Scopus,2-s2.0-84988632641
"Antman K.H., Berman H.A., Flotte T.R., Flier J., Dimitri D.M., Bharel M.","Developing core competencies for the prevention and management of prescription drug misuse: A medical education collaboration in Massachusetts",2016,"Academic Medicine","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983048020&doi=10.1097%2fACM.0000000000001347&partnerID=40&md5=0df5575ed684b610ff1d6441f3d08e27",Article,Scopus,2-s2.0-84983048020
"Meade L.B., Suddarth K.H., Jones R.R., Zaas A.K., Albanese T., Yamazaki K., O'Malley C.W.","Patients, nurses, and physicians working together to develop a discharge entrustable professional activity assessment tool",2016,"Academic Medicine","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963939896&doi=10.1097%2fACM.0000000000001189&partnerID=40&md5=24785130f0e91f4a45c7278f00cbc801",Conference Paper,Scopus,2-s2.0-84963939896
"Nisbett N., van den Bold M., Gillespie S., Menon P., Davis P., Roopnaraine T., Kampman H., Kohli N., Singh A., Warren A.","Community-level perceptions of drivers of change in nutrition: Evidence from South Asia and sub-Saharan Africa",2017,"Global Food Security","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012875713&doi=10.1016%2fj.gfs.2017.01.006&partnerID=40&md5=b7e21e12650b06b7a5d27a1a36808809",Article in Press,Scopus,2-s2.0-85012875713
"Cunningham K., Headey D., Singh A., Karmacharya C., Rana P.P.","Maternal and Child Nutrition in Nepal: Examining drivers of progress from the mid-1990s to 2010s",2017,"Global Food Security","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012878937&doi=10.1016%2fj.gfs.2017.02.001&partnerID=40&md5=4982e5eb44669ae29eef17f505ff4ad8",Article in Press,Scopus,2-s2.0-85012878937
"Wan Q., Panetta K.","A facial recognition system for matching computerized composite sketches to facial photos using human visual system algorithms",2016,"2016 IEEE Symposium on Technologies for Homeland Security, HST 2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991794996&doi=10.1109%2fTHS.2016.7568945&partnerID=40&md5=c93be7ffdacc33ba2c27b9bb4f0d386b",Conference Paper,Scopus,2-s2.0-84991794996
"Samani A., Panetta K., Agaian S.","Contrast enhancement for color images using discrete cosine transform coefficient scaling",2016,"2016 IEEE Symposium on Technologies for Homeland Security, HST 2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991759032&doi=10.1109%2fTHS.2016.7568968&partnerID=40&md5=ee20ce450d27f958da4e2e09fa231b00",Conference Paper,Scopus,2-s2.0-84991759032
"Hassel A., Steen Knudsen J., Wagner B.","Winning the battle or losing the war: the impact of European integration on labour market institutions in Germany and Denmark",2016,"Journal of European Public Policy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978625524&doi=10.1080%2f13501763.2016.1186209&partnerID=40&md5=c0b626a71a84d57c250ffb45bd676a5c",Article,Scopus,2-s2.0-84978625524
"Ruiz P.M.","Ways to start looking at potential translation",2016,"MLN - Modern Language Notes","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995755358&partnerID=40&md5=561691066a9683d2941d9e18e78a5738",Article,Scopus,2-s2.0-84995755358
"Brizuela B.M.","Variables in elementary mathematics education",2016,"Elementary School Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984904128&partnerID=40&md5=8fd9dc49b940ddce1876507ddb3538ed",Article,Scopus,2-s2.0-84984904128
"Schildkraut D.J.","Latino Attitudes About Surrogate Representation in the United States*",2016,"Social Science Quarterly","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961718567&doi=10.1111%2fssqu.12266&partnerID=40&md5=5c0abe6b0629f4df15964a5b18e6b151",Article,Scopus,2-s2.0-84961718567
"Kumar G., Jim-Martin S., Piltch E., Onufrak S., McNeil C., Adams L., Williams N., Blanck H.M., Curley L.","Healthful Nutrition of Foods in Navajo Nation Stores",2016,"American Journal of Health Promotion","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988934959&doi=10.4278%2fajhp.140821-QUAN-422&partnerID=40&md5=68d0e1242c099cb29a1c3d98bc8f4cea",Article,Scopus,2-s2.0-84988934959
"Lin A.R., Menjívar C., Vest Ettekal A., Simpkins S.D., Gaskin E.R., Pesch A.","“They Will Post a Law About Playing Soccer” and Other Ethnic/Racial Microaggressions in Organized Activities Experienced by Mexican-Origin Families",2016,"Journal of Adolescent Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981250123&doi=10.1177%2f0743558415620670&partnerID=40&md5=113b8e4d47cfe55e0ab2382ba05bee8f",Article,Scopus,2-s2.0-84981250123
"Tucker-Raymond E., Gravel B.E., Wagh A., Wilson N., Manderino M., Castek J.","Making It Social: Considering the Purpose of Literacy to Support Participation in Making and Engineering",2016,"Journal of Adolescent and Adult Literacy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983775767&doi=10.1002%2fjaal.583&partnerID=40&md5=5581eb20748e74a57b393b8b3f52dbc6",Article,Scopus,2-s2.0-84983775767
"Biehl E., Klemm R.D.W., Manohar S., Webb P., Gauchan D., West K.P.","What Does It Cost to Improve Household Diets in Nepal? Using the Cost of the Diet Method to Model Lowest Cost Dietary Changes",2016,"Food and Nutrition Bulletin","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981508218&doi=10.1177%2f0379572116657267&partnerID=40&md5=d37fe7ead402cc9edca197b10fca4703",Article,Scopus,2-s2.0-84981508218
"Cohn A.S., Gil J., Berger T., Pellegrina H., Toledo C.","Patterns and processes of pasture to crop conversion in Brazil: Evidence from Mato Grosso State",2016,"Land Use Policy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962385250&doi=10.1016%2fj.landusepol.2016.03.005&partnerID=40&md5=aae31bc9e1dd685f8766909f3c68c622",Article,Scopus,2-s2.0-84962385250
"Palinkas L.A., Garcia A.R., Aarons G.A., Finno-Velasquez M., Holloway I.W., Mackie T.I., Leslie L.K., Chamberlain P.","Measuring Use of Research Evidence: The Structured Interview for Evidence Use",2016,"Research on Social Work Practice","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982938761&doi=10.1177%2f1049731514560413&partnerID=40&md5=4315f2d361aca8b9dd4f52c9409c4573",Article,Scopus,2-s2.0-84982938761
"Latham Keh M., Stoessel S.","How First Is First? Revisiting Language Maintenance and Shift and the Meaning of L1/L2 in Three Case Studies",2016,"International Multilingual Research Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984678140&doi=10.1080%2f19313152.2016.1220801&partnerID=40&md5=1deb4ba13f9b6e9f6802e0f49c61418d",Article in Press,Scopus,2-s2.0-84984678140
"Spolaore E.","The economics of political borders",2016,"Economic Analysis of International Law","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014040523&doi=10.4337%2f9780857930163&partnerID=40&md5=109d8efd0ae9f7ff5cb1ecce65295e4c",Book Chapter,Scopus,2-s2.0-85014040523
"Goodwin N., Corbett R.","The Tactical Investors",2016,"Nation","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986587934&partnerID=40&md5=fee81850fc5cf4fa781305ca474cea89",Note,Scopus,2-s2.0-84986587934
"Carlat D.J., Fagrelius T., Ramachandran R., Ross J.S., Bergh S.","The updated AMSA scorecard of conflict-of-interest policies: A survey of U.S. medical schools",2016,"BMC Medical Education","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988001318&doi=10.1186%2fs12909-016-0725-y&partnerID=40&md5=74fda53bec5edce3b292263f06913347",Article,Scopus,2-s2.0-84988001318
"Arbeit M.R.","“Make Sure You’re Not Getting Yourself in Trouble:” Building Sexual Relationships and Preventing Sexual Violence at the U.S. Military Academy at West Point",2016,"Journal of Sex Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982860608&doi=10.1080%2f00224499.2016.1207055&partnerID=40&md5=aac251f907d1182b9bb6e54b8b9a9f31",Article in Press,Scopus,2-s2.0-84982860608
"Duchin F., Levine S.H.","Combining Multiregional Input-Output Analysis with a World Trade Model for Evaluating Scenarios for Sustainable Use of Global Resources, Part II: Implementation",2016,"Journal of Industrial Ecology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983491027&doi=10.1111%2fjiec.12302&partnerID=40&md5=603878b58de7d27a6b55f6e412281f4b",Article,Scopus,2-s2.0-84983491027
"Duchin F., Levine S.H., Strømman A.H.","Combining Multiregional Input-Output Analysis with a World Trade Model for Evaluating Scenarios for Sustainable Use of Global Resources, Part I: Conceptual Framework",2016,"Journal of Industrial Ecology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983504346&doi=10.1111%2fjiec.12303&partnerID=40&md5=33bc86ad41ab299f5e34bc65729c9afa",Article,Scopus,2-s2.0-84983504346
"Freund K.M., Raj A., Kaplan S.E., Terrin N., Breeze J.L., Urech T.H., Carr P.L.","Inequities in academic compensation by gender: A follow-up to the national faculty survey cohort study",2016,"Academic Medicine","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973338645&doi=10.1097%2fACM.0000000000001250&partnerID=40&md5=f17f4032797b33386a6c1de2322edbb6",Conference Paper,Scopus,2-s2.0-84973338645
"Hilliard L.J., Buckingham M.H., Geldhof G.J., Gansert P., Stack C., Gelgoot E.S., Bers M.U., Lerner R.M.","Perspective taking and decision-making in educational game play: A mixed-methods study",2016,"Applied Developmental Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979688638&doi=10.1080%2f10888691.2016.1204918&partnerID=40&md5=4c056142b150780164ead849e4fe4e69",Article in Press,Scopus,2-s2.0-84979688638
"Wilkinson C., Eken E.M., Mills L., Krystalli R., Gould H.D., Crane-Seeber J., Kirby P.","Responding to #AllMalePanels: A Collage",2016,"International Feminist Journal of Politics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981218705&doi=10.1080%2f14616742.2016.1189673&partnerID=40&md5=9822cd1bce27c9a176e3f6ea9dd151f8",Article in Press,Scopus,2-s2.0-84981218705
"Clayton A.J.","Browsing through enzensberger’s album",2016,"Oxford German Studies","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982300237&doi=10.1080%2f00787191.2016.1156852&partnerID=40&md5=530ec1b1d692ef4918a96b26e331ca6e",Article,Scopus,2-s2.0-84982300237
"Krystalli R.","Responding to #AllMalePanels: A Collage: Beyond the All-Male Panel: Tracking Factors of Gendered Credibility",2016,"International Feminist Journal of Politics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983627671&doi=10.1080%2f14616742.2016.1189673d&partnerID=40&md5=21a0619276ea502ef0678e2c887efd4e",Article,Scopus,2-s2.0-84983627671
"Elkin M., Sullivan A., Bers M.U.","Programming with the KIBO Robotics Kit in Preschool Classrooms",2016,"Computers in the Schools","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988362672&doi=10.1080%2f07380569.2016.1216251&partnerID=40&md5=a8b8982d67449cae0cff2eae02b37301",Article,Scopus,2-s2.0-84988362672
"Fernández R., Jaramillo D.L.","“Salúd, Amigos”: Negotiating Border History in Rural and Farm Radio of the Rio Grande Valley",2016,"Journal of Radio and Audio Media","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992679723&doi=10.1080%2f19376529.2016.1223972&partnerID=40&md5=3afe5c3d8f54804decab7f32298a3016",Article,Scopus,2-s2.0-84992679723
"Donlan A.E., Prescott J.E., Zaff J.F.","Differential predictors of academic achievement: individual and familial factor interactions with community poverty",2016,"Journal of Children and Poverty","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977265874&doi=10.1080%2f10796126.2016.1163665&partnerID=40&md5=9ef74aa7a7b3060772cb0b60168e5c39",Article,Scopus,2-s2.0-84977265874
"Lerner R.M., Lerner J.V., Urban J.B., Zaff J.","Evaluating programs aimed at promoting positive youth development: A relational development systems-based view",2016,"Applied Developmental Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84950162048&doi=10.1080%2f10888691.2015.1082430&partnerID=40&md5=3e9fd895bb12192b0c8379cf3bd94008",Article,Scopus,2-s2.0-84950162048
"Lurz J.","The Death of the Book: Modernist Novels and the Time of Reading",2016,"The Death of the Book: Modernist Novels and the Time of Reading","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979098607&partnerID=40&md5=09cf761749a2c709ae95533307c56c3b",Book,Scopus,2-s2.0-84979098607
"Berry J.M.","Negative Returns: The Impact of Impact Investing on Empowerment and Advocacy",2016,"PS - Political Science and Politics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978768079&doi=10.1017%2fS1049096516000664&partnerID=40&md5=ed6ae23a2ae701f54deb0c14e3e23531",Conference Paper,Scopus,2-s2.0-84978768079
"Galaitsi S.E., Russell R., Bishara A., Durant J.L., Bogle J., Huber-Lee A.","Intermittent domestic water supply: A critical review and analysis of causal-consequential pathways",2016,"Water (Switzerland)","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979052958&doi=10.3390%2fw8070274&partnerID=40&md5=0fb9a5d35b6fb0287c8c8f40bcfe5182",Review,Scopus,2-s2.0-84979052958
"McWayne C.M., Melzi G., Limlingan M.C., Schick A.","Ecocultural patterns of family engagement among low-income latino families of preschool children",2016,"Developmental Psychology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971452274&doi=10.1037%2fa0040343&partnerID=40&md5=789060ae6d9388d322b81fc68e9db7a0",Article,Scopus,2-s2.0-84971452274
"Tseng V., Kiang L., Mistry J., Mistry R.S., Wang Y., Yoshikawa H.","Response to Commentaries on Taking Stock and Moving Forward: Research on Asian American Child Development",2016,"Child Development","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977638367&doi=10.1111%2fcdev.12579&partnerID=40&md5=ad4f1cdbdc06adc7a8932960ef28e8a9",Article,Scopus,2-s2.0-84977638367
"Tseng V., Kiang L., Mistry J., Mistry R.S., Wang Y., Yoshikawa H.","Taking Stock and Moving Forward: Research on Asian American Child Development",2016,"Child Development","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977615128&doi=10.1111%2fcdev.12574&partnerID=40&md5=a38eff070304fe957090785b145ff72e",Article,Scopus,2-s2.0-84977615128
"Mistry J., Li J., Yoshikawa H., Tseng V., Tirrell J., Kiang L., Mistry R., Wang Y.","An Integrated Conceptual Framework for the Development of Asian American Children and Youth",2016,"Child Development","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977602061&doi=10.1111%2fcdev.12577&partnerID=40&md5=a31623f9ff7feb566847a8e175420413",Article,Scopus,2-s2.0-84977602061
